cheese,milk,country,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan
2,4,72,3,47,11,10,16,596,49,0,0
3,18,35,3,39,114,7,16,69,226,1,0
9,4,31,3,38,99,7,11,470,0,1,0
11,4,35,3,39,93,7,11,488,57,0,0
15,18,74,3,21,199,10,15,71,158,1,0
0,4,14,3,47,240,9,8,135,70,0,0
1,4,14,3,38,262,9,16,10,304,0,0
20,4,77,3,21,186,7,11,571,263,0,0
22,4,77,3,2,261,7,2,274,257,1,0
23,5,77,3,2,261,7,2,275,285,1,0
24,13,77,3,2,261,2,2,251,257,1,0
25,13,77,3,2,261,2,7,276,285,1,0
26,4,77,3,2,261,6,6,272,80,1,0
30,4,77,3,21,122,5,4,80,158,1,0
31,13,68,3,48,139,9,15,210,181,1,0
32,4,63,3,48,279,11,11,367,204,1,0
34,4,74,3,20,94,9,16,596,0,0,0
36,13,74,3,13,283,9,10,598,105,1,0
38,4,72,3,1,279,7,6,81,256,1,0
39,4,40,3,20,250,7,16,488,279,0,0
41,4,6,3,21,250,7,16,468,238,0,0
42,4,6,3,21,250,7,16,589,300,0,0
43,4,6,3,21,8,7,16,517,38,0,0
44,4,6,3,21,8,7,16,517,38,0,0
45,4,6,3,21,257,7,4,519,0,0,0
46,4,71,3,30,273,10,14,171,175,0,0
47,4,52,3,47,59,2,15,55,241,0,0
48,4,77,3,39,223,10,16,85,168,1,0
49,13,35,3,61,194,10,15,407,0,0,0
52,4,6,3,39,147,7,16,91,162,1,0
59,4,77,3,57,279,9,16,597,228,0,0
61,4,77,3,21,265,7,11,402,191,0,0
68,10,48,3,27,189,0,16,110,135,1,0
69,14,24,3,17,4,7,15,252,68,1,0
72,4,77,3,39,225,10,15,258,122,1,0
73,4,67,3,39,195,2,8,472,247,1,0
78,4,72,3,21,250,10,15,347,304,0,0
79,4,77,3,21,160,11,16,499,260,1,0
80,4,31,3,21,192,7,6,436,308,1,0
81,4,31,3,38,189,7,16,574,294,1,0
85,13,50,3,39,259,7,15,489,304,1,0
86,13,50,3,39,259,7,15,452,207,1,0
87,6,3,3,47,168,7,15,441,228,1,0
88,5,35,3,48,138,7,15,592,116,0,0
96,9,35,3,38,279,7,11,465,90,0,0
97,4,67,3,20,75,7,9,397,228,1,0
100,4,72,3,61,279,7,11,502,29,0,0
101,5,35,3,14,93,9,15,0,229,0,0
103,4,14,3,21,101,3,14,346,71,1,0
107,4,35,3,38,279,11,4,144,284,1,0
109,4,35,3,62,275,10,11,588,279,0,0
112,4,46,3,38,250,7,11,31,127,0,0
114,4,14,3,47,93,10,8,17,100,0,0
118,4,30,3,20,93,7,16,597,211,1,0
121,4,77,3,21,160,7,11,75,33,1,0
130,4,63,3,21,93,3,15,574,30,0,0
141,14,44,3,38,233,9,15,512,268,0,0
143,4,40,3,21,202,7,11,370,33,0,0
145,4,50,3,21,65,11,16,386,208,1,0
147,4,35,3,33,160,7,11,210,168,0,0
148,4,35,3,47,160,10,11,544,46,0,0
150,4,9,3,38,127,7,16,441,299,0,0
158,4,4,3,61,160,9,16,210,255,0,0
166,4,35,3,38,279,10,15,595,0,0,0
168,4,31,3,21,105,7,16,266,42,1,0
170,4,35,3,38,178,7,3,441,4,0,0
178,4,77,3,21,160,7,11,579,289,1,0
181,13,77,3,48,160,6,15,570,157,1,0
183,18,77,3,39,199,9,16,108,194,1,0
186,4,74,3,20,15,9,16,32,285,0,0
187,13,4,3,39,250,1,11,441,127,1,0
189,4,78,3,20,67,7,4,553,144,1,0
191,9,71,3,21,279,7,16,25,181,0,0
199,4,19,3,20,94,8,16,287,0,1,0
210,13,77,3,39,259,11,15,263,191,0,0
222,4,14,3,20,259,9,14,3,40,0,0
223,4,14,3,57,259,9,5,459,49,0,0
224,4,14,3,38,259,9,11,3,141,1,0
229,9,18,3,21,199,7,11,338,117,1,0
232,4,14,3,38,250,9,11,310,66,0,0
236,4,74,3,20,93,11,11,336,154,1,0
243,4,47,3,38,117,9,15,596,304,0,0
244,4,77,3,12,225,9,15,209,127,1,0
262,13,74,3,34,279,1,10,202,228,1,0
273,5,77,3,39,93,6,14,247,242,0,0
288,0,77,3,5,248,7,0,572,112,0,0
289,9,70,3,13,93,9,15,442,127,0,0
292,4,31,3,39,250,10,11,427,256,1,0
293,4,35,3,80,279,10,16,66,286,0,0
294,4,7,3,47,166,7,11,133,181,0,0
298,4,77,3,39,127,7,11,149,101,0,0
302,13,35,3,14,279,7,15,355,0,0,0
306,13,35,3,61,126,7,8,5,280,0,0
316,7,52,3,48,88,7,11,441,87,1,0
317,4,77,3,48,160,7,11,556,36,1,0
318,4,76,3,20,189,7,15,200,127,1,0
319,4,50,3,39,250,2,3,383,285,1,0
321,18,67,3,21,211,7,8,74,0,1,0
326,4,35,3,62,281,7,11,596,66,0,0
327,4,35,3,74,168,7,16,553,17,1,0
333,6,14,3,23,210,7,16,366,153,0,0
335,4,12,3,0,204,9,16,588,0,1,0
338,4,35,3,39,250,7,11,278,174,0,0
340,13,14,3,48,60,10,11,20,189,1,0
343,13,14,3,28,211,7,11,521,190,1,0
347,13,77,3,22,250,10,11,506,261,0,0
353,13,52,3,21,67,7,14,565,126,0,0
354,4,77,3,39,225,7,16,491,87,1,0
358,4,50,3,39,259,11,6,462,249,1,0
360,4,52,3,21,87,7,11,524,5,0,0
364,4,67,3,26,93,4,4,180,87,1,0
365,4,6,3,39,93,7,9,220,18,0,0
371,14,65,3,48,3,7,11,585,0,1,0
372,6,70,3,20,250,7,16,47,285,0,0
379,4,6,3,21,79,7,11,237,27,1,0
384,4,77,3,18,23,9,15,262,145,1,1
385,4,74,3,48,93,10,16,359,279,1,0
387,13,31,3,14,93,7,15,193,96,1,0
388,13,35,3,48,93,2,15,551,181,0,0
389,13,35,3,62,259,7,15,536,181,0,0
390,4,72,3,20,116,10,11,174,263,0,0
399,4,77,3,39,180,7,11,569,268,0,0
400,4,30,3,20,67,7,11,290,304,0,0
401,4,77,3,39,160,7,15,416,87,1,0
402,4,50,3,39,279,10,11,357,280,0,1
403,4,50,3,39,250,7,11,357,171,1,0
404,4,17,3,8,262,7,15,442,127,1,0
407,4,74,3,20,189,3,9,309,201,0,0
408,13,77,3,13,108,9,15,181,141,1,0
412,13,31,3,14,160,7,15,191,121,1,0
414,9,52,3,48,160,7,11,588,239,0,0
417,4,77,3,21,250,10,11,527,285,1,0
418,4,77,3,39,250,7,11,558,49,1,0
423,13,35,3,14,171,9,15,598,181,0,0
424,5,14,3,13,288,9,15,344,12,1,0
434,4,12,3,38,241,7,16,43,127,0,0
435,4,30,3,1,160,9,11,308,256,1,0
438,4,77,3,38,256,9,16,596,239,0,0
441,18,12,3,39,150,7,11,280,223,1,0
445,4,35,3,38,11,10,16,472,256,0,0
446,4,35,3,20,250,7,16,336,256,0,0
448,4,52,3,20,75,7,11,565,0,0,0
450,4,77,3,39,127,7,15,341,159,1,0
452,4,50,3,21,210,11,11,348,250,0,0
457,4,30,3,48,38,9,15,258,62,1,0
458,4,30,3,48,48,6,8,210,285,1,0
459,4,30,3,48,93,6,8,210,285,1,0
460,4,30,3,34,180,5,11,384,178,1,0
463,4,33,3,39,210,11,11,15,127,1,0
468,4,77,3,47,96,9,15,495,137,0,0
470,4,14,3,21,94,7,11,495,304,0,0
471,4,33,3,21,129,7,15,130,285,1,0
473,13,77,3,48,101,9,15,555,78,1,0
479,4,77,3,18,176,9,15,258,150,1,0
482,4,30,3,39,266,10,11,210,253,0,0
